iter	Passed	Remaining
0	3	3983
1	7	3508
2	9	3305
3	12	3231
4	15	3179
5	19	3178
6	20	2959
7	23	2957
8	26	2933
9	29	2938
10	32	2931
11	35	2931
12	38	2921
13	41	2897
14	44	2893
15	46	2886
16	49	2844
17	51	2798
18	53	2761
19	55	2710
20	57	2666
21	59	2625
22	60	2578
23	62	2534
24	64	2498
25	65	2460
26	67	2418
27	68	2382
28	70	2345
29	71	2310
30	72	2280
31	74	2249
32	75	2221
33	77	2196
34	78	2175
35	80	2155
36	82	2135
37	82	2081
38	83	2064
39	85	2047
40	86	2030
41	88	2013
42	89	1997
43	91	1983
44	92	1967
45	94	1955
46	95	1943
47	97	1930
48	98	1916
