,Pozo,Num BHA,MD,TVD,DLS Mean,Azi Mean,Inc Mean,Inc Max,Azi Max,DLS Max,MW,Tiempo,Tipo Pozo,Duracion
0,CASTILLA 1,5,7272.5,7268.9,1.0877333333333328,228.07649006622503,2.144701986754966,3.5,356.33,3.79,10.229508196721316,43.0,TIPO J,864.0
1,CASTILLA 1,5,7272.5,7268.9,1.0877333333333328,228.07649006622503,2.144701986754966,3.5,356.33,3.79,10.229508196721316,43.0,VERTICAL,864.0
2,CASTILLA 108,8,9271.0,6577.4,1.2696774193548384,168.51451612903227,32.28204301075269,94.14,289.39,3.68,9.976835770025497,4.0,HORIZONTAL,600.0
3,CASTILLA 125,8,7300.0,7293.3,0.448625,175.26600000000005,2.0899999999999994,4.13,359.03,2.43,10.452941176470588,12.0,TIPO J,384.0
4,CASTILLA 129,29,10443.1,6832.9,1.2229411764705882,240.39966386554627,37.204453781512605,88.16,338.7,4.34,10.313333333333334,19.5,TIPO J,576.0
5,CASTILLA 130,11,8683.0,7626.4,1.0534333878293614,71.1121649484536,24.485979381443293,54.8,340.82,4.72,10.385714285714286,69.5,HORIZONTAL,456.0
6,CASTILLA 137,11,8250.0,7733.1,1.1085858981878478,112.09323809523818,14.68914285714286,49.57,358.85,3.95,10.522727272727273,81.5,TIPO J,504.0
7,CASTILLA 138,4,8051.0,7704.9,1.003815789473684,123.54131578947373,10.669473684210525,46.05,359.93,4.28,10.194117647058826,7.0,TIPO J,384.0
8,CASTILLA 139,15,9320.0,8549.8,0.9335761363141752,169.85625730994153,11.55111111111111,51.62,352.4,4.94,10.0,4.5,TIPO J,744.0
9,CASTILLA 14,4,7255.5,7248.4,1.6996830024307115,204.25180180180163,1.6350675675675663,10.73,356.25,4.72,10.647435897435894,34.5,TIPO J,720.0
10,CASTILLA 14,4,7255.5,7248.4,1.6996830024307115,204.25180180180163,1.6350675675675663,10.73,356.25,4.72,10.647435897435894,34.5,VERTICAL,720.0
11,CASTILLA 144,12,7611.0,7157.8,0.9573913043478265,249.99891304347824,12.20333333333333,46.0,354.5,2.89,10.484000000000002,88.5,TIPO J,576.0
12,CASTILLA 146,30,9810.0,6945.3,1.3242612328294159,279.6454867256636,33.6933628318584,86.9,356.6,4.45,9.655797721769764,236.5,HORIZONTAL,936.0
13,CASTILLA 147,17,7757.0,7245.7,0.9912222222222223,192.08933333333337,16.233,45.21,230.39,2.59,10.178947368421051,22.0,TIPO J,432.0
14,CASTILLA 148,21,8393.0,7275.6,1.155625,144.04197916666672,21.41645833333334,63.51,357.66,3.95,10.4875,13.0,TIPO J,369.0
15,CASTILLA 149,18,9834.0,6790.9,1.234369410618801,132.18518181818183,33.57709090909091,95.83,359.44,5.0,10.230434782608697,13.0,HORIZONTAL,552.0
16,CASTILLA 150,8,9799.0,6923.9,1.3472477064220187,104.40935779816512,31.140275229357794,91.9,353.36,4.98,9.996153846153847,24.5,HORIZONTAL,600.0
17,CASTILLA 151,6,9485.0,6846.1,1.2979629629629632,111.46194444444447,31.246944444444445,88.85,358.73,3.58,10.31578947368421,23.5,HORIZONTAL,432.0
18,CASTILLA 152,6,9808.0,6990.6,1.2885714285714285,141.83678571428567,31.033392857142864,90.86,358.87,3.89,9.913793103448274,31.5,HORIZONTAL,744.0
19,CASTILLA 153,22,9393.0,6933.7,1.3600925925925924,240.34731481481478,27.88842592592593,91.15,359.74,4.63,9.558064516129033,211.5,HORIZONTAL,768.0
20,CASTILLA 156,10,8483.0,6701.6,1.3097849462365585,228.57225806451603,26.56064516129032,75.4,299.31,4.05,10.522222222222222,11.0,HORIZONTAL,408.0
21,CASTILLA 157,7,8207.0,7236.5,1.092584269662921,211.42595505617982,21.289999999999996,46.92,355.05,3.86,10.61111111111111,24.5,TIPO J,456.0
22,CASTILLA 158,6,7626.0,7133.9,1.0878977272727275,207.3703409090909,13.655170454545452,52.42,332.36,3.61,10.514285714285716,2.5,TIPO J,312.0
23,CASTILLA 159,7,8285.0,7017.2,1.1800578034682085,185.54167630057796,23.51543352601157,69.82,263.32,3.98,10.411764705882353,3.5,TIPO J,384.0
